id,text,author_id,created_at,clean_text,sentiment
1.97E+18,I love Naija,24291371,2025-09-16T18:10:20+00:00,𝐍𝐢𝐧𝐞 𝐫𝐞𝐬𝐜𝐮𝐞𝐝 𝐟𝐢𝐯𝐞 𝐫𝐞𝐯𝐢𝐯𝐞𝐝 𝐚𝐟𝐭𝐞𝐫 𝐟𝐢𝐫𝐞 𝐡𝐢𝐭 𝐋𝐚𝐠𝐨𝐬 𝐡𝐢𝐠𝐡𝐫𝐢𝐬𝐞 𝐛𝐮𝐢𝐥𝐝𝐢𝐧𝐠,POSITIVE
1.97E+18,@offlinemademan @Abim65918Akande @absoluteOMP @Achilles0055199 @ageshinkole @Bayo_Bilisi @BOLAJI_OBADARA @ctpnetwo @CYoruba27445 @adefunmiloro @AdemolaOgudu E sure me say the were no get anything for lagos. You can sense an ibo's stvpidity from a mile awa,1.16E+18,2025-09-16T18:10:16+00:00,e sure say get anything lagos sense ibos stvpidity mile away people mentally derangedd,NEGATIVE
1.97E+18,This is the type of things that are making food expensive when shipped outside the north to lagos https://t.co/CqG3bRJb46,211117624,2025-09-16T18:10:00+00:00,type things making food expensive shipped outside north lagos,POSITIVE
1.97E+18,"@thebeeperfumery @Hhonor_ Yaribaboon don add Ibadan and Abeokuta😂😂😂 
Lagos is our only target 🎯, those other smelly states in south west are for poor yaribaboons",1.71E+18,2025-09-16T18:10:00+00:00,yaribaboon add ibadan abeokuta lagos target smelly states south west poor yaribaboons,POSITIVE
1.97E+18,"Fire outbreak at lagos Island UBA BANK AFRILAND TOWERS: They are being , currently rescued .

https://t.co/Mv4Jk6xTrI",1.88E+18,2025-09-16T18:09:57+00:00,fire outbreak lagos island uba bank afriland towers currently rescued,POSITIVE
1.97E+18,"Expensive Trouble. Ogudu GRA and Magodo phase 2 are  still my top choice location to live in Lagos, until i can afford EKO ATLANTIC. My money should give me comfort and not create more problem for me to think about. https://t.co/VfaQfmU6uv",37940402,2025-09-16T18:09:55+00:00,expensive trouble ogudu gra magodo phase 2 still top choice location live lagos afford eko atlantic money give comfort create problem think,POSITIVE
1.97E+18,"@Don_Qudus @SavvyRinu @PrincePhattz I am old enough to tell you that, you lived all your life in Lagos void of sound education, and you don't know that Owambe is an adjectival word for Ayeye, and that Ayeye is the culture, Owanbe is the adjectival word to",7.38E+17,2025-09-16T18:09:55+00:00,old enough tell lived life lagos void sound education dont know owambe adjectival word ayeye ayeye culture owanbe adjectival word qualify,POSITIVE
1.97E+18,Lagos government reduces minimum land size for estate development https://t.co/tV7YF74TuQ,1.61E+18,2025-09-16T18:09:51+00:00,lagos government reduces minimum land size estate development,POSITIVE
1.97E+18,"Fire Scare at Afriland Towers Sparks Panic on Lagos Island

https://t.co/dGvixqgUgX",1.18E+18,2025-09-16T18:09:37+00:00,fire scare afriland towers sparks panic lagos island,POSITIVE
1.97E+18,The propagandists' children won't see the powerful crane used to evacuate people by the Lagos state fire service. https://t.co/425YrJiXLt,2211862121,2025-09-16T18:09:36+00:00,propagandists children wont see powerful crane used evacuate people lagos state fire service,NEGATIVE
1.97E+18,Would Lagos have been a better fit for Peter Obi?🤨 https://t.co/DSBwpv5Zn2,434819376,2025-09-16T18:09:21+00:00,would lagos better fit peter obi,NEGATIVE
1.97E+18,"Please repost this🙏

Oya pick your choice and give me your price 🤗

If you’re buying upto 3 pairs, delivery is free within Lagos, and at discounted prices if it’s inter state https://t.co/WMhF5VcgJ5 https://t.co/dF1JKzQUYB",1.84E+18,2025-09-16T18:09:21+00:00,please repost oya pick choice give price youre buying upto 3 pairs delivery free within lagos discounted prices inter state,POSITIVE
1.97E+18,"@Mrombudsmann_ @CzarrRichard @Jon_Kc_E @diipodipe @jcokechukwu 1. The secession clause was primarily debated at the 1954 Lagos Constitutional Conference, following discussions initiated in 1953.

2. The Northern People's Congress (NPC) sided with Azikiwe'",1.72E+18,2025-09-16T18:08:59+00:00,1 secession clause primarily debated 1954 lagos constitutional conference following discussions initiated 1953 2 northern peoples congress npc sided azikiwes ncnc opposing clause,POSITIVE
1.97E+18,@fimlex2 Na so Una Dey suffer for Lagos ? 😳😳😳😳,1.55E+18,2025-09-16T18:08:51+00:00,na una dey suffer lagos,NEGATIVE
1.97E+18,"The video of Mr. May D performing live in Lagos today has everyone talking 

#mrmayd #afrobeats #afrobeatstotheworld https://t.co/8VDbNhSV6f",1.57E+18,2025-09-16T18:08:47+00:00,video mr may performing live lagos today everyone talking mrmayd afrobeats afrobeatstotheworld,POSITIVE
1.97E+18,"Lemme add 5 more underrated albums/Eps 
1. I Dream In Color - Magixx
2. The Summer that saved me - Odeal
3. Money over Love - Tmzy &amp; Yiizi
4. Lagos Lover Boy - Ric Hassani
5. Goodgirl - GoodGirl LA

Proper projects 🥹❤️ https://t.co/OccpDiFUVS",8.41E+17,2025-09-16T18:08:47+00:00,lem add 5 underrated albumseps 1 dream color magixx 2 summer saved odeal 3 money love tmzy amp yiizi 4 lagos lover boy ric hassani 5 goodgirl goodgirl la proper projects,POSITIVE
1.97E+18,"@babatunde_11943 @Lashjojusheun @Nithsmit @Voiceofigbos Yes PH and LAGOS took igbos properties 
It was only few that got theirs back 
There are still autonomous igbo communities in kogi till date 
The house their wasn't dismantled or the land sold , they ",1.80E+18,2025-09-16T18:08:37+00:00,yes ph lagos took igbos properties got back still autonomous igbo communities kogi till date house wasnt dismantled land sold left kept igbos take whenever want,POSITIVE
1.97E+18,"Why cinema sef dey empty?

Abi cinema don dey open for every corner of Lagos too? https://t.co/atUFLiLNyq",1.01E+18,2025-09-16T18:08:31+00:00,cinema sef dey empty abi cinema dey open every corner lagos,POSITIVE
1.97E+18,"@Aizik45 @Morris_Monye This appears to be footage from a fire at the United Bank for Africa (UBA) Marina branch on Lagos Island today, September 16, 2025. Staff were trapped and escaped via windows using ladders and ropes. Cause is unclear; no confirmed c",1.72E+18,2025-09-16T18:08:24+00:00,appears footage fire united bank africa uba marina branch lagos island today september 16 2025 staff trapped escaped via windows using ladders ropes cause unclear confirmed casualties emergency teams contained blaze,POSITIVE
1.97E+18,"@ikechukk @Morris_Monye Sorry, I misidentified it. The video actually shows staff escaping a fire at the UBA bank in Marina, Lagos, Nigeria, by dangling from windows and using makeshift ladders—extremely dangerous. No confirmed casualties yet.",1.72E+18,2025-09-16T18:08:18+00:00,sorry misidentified video actually shows staff escaping fire uba bank marina lagos nigeria dangling windows using makeshift laddersextremely dangerous confirmed casualties yet,NEGATIVE
1.97E+18,@sloppymkt2 @Sistaliano Yorubas hardly travel to their village. Na only Lagos dem Sabi,2215394943,2025-09-16T18:08:08+00:00,yorubas hardly travel village na lagos dem sabi,POSITIVE
1.97E+18,@uzoart Owambe is a must in lagos nigeria.,2308369827,2025-09-16T18:08:07+00:00,owambe must lagos nigeria,NEGATIVE
